images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images/eyedrops.jpg,bicycle,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,194,194,131,967.346895177,9.30111855268E-06,968.697904289,1.35101873393,,,,x,1,1.33392282529,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/radish01.jpg,raisin,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,195,195,214,969.80731727,8.98027792573E-06,970.515059467,0.707751819398,,,,x,1,0.683772196993,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/calculator02b.jpg,dice,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,196,196,165,971.616196468,8.98027792573E-06,972.532242934,0.916056407848,,,,x,1,0.900476244045,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/grandpiano.jpg,tulip,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,197,197,236,973.645807375,9.621726349E-06,974.316053008,0.670255896519,,,,x,1,0.650414584787,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/nametag01a.jpg,name tag,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,198,198,108,975.43634946,9.30100213736E-06,976.366582541,0.930242702016,,,,z,1,0.917155531235,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/candle08a.jpg,screw driver,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,199,199,221,977.479302834,9.94245056063E-06,978.300436282,0.821143710637,,,,x,1,0.800470118178,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/coin01b.jpg,arrow,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,200,200,124,979.40359032,9.30111855268E-06,980.167592118,0.764012060594,,,,x,1,0.750444123521,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/lily.jpg,kiwi,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,201,201,190,981.266237729,8.98027792573E-06,981.918039769,0.651811982272,,,,x,1,0.633743315702,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/hanger02a.jpg,hanger,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,202,202,88,983.010310016,9.621726349E-06,983.601812928,0.591512855026,,,,x,0,0.567047655582,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/beermug01b.jpg,beer mug,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,203,203,111,984.717905963,9.30100213736E-06,986.302516181,1.58462016087,,,,z,1,1.56718781218,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
