images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\squirrel.jpg,binder,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,124,124,132,360.983961418,9.30100213736E-06,362.031297157,1.04734504002,,,,,x,1,1.03382255917,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\bus.jpg,microphone,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,125,125,203,363.14968734,8.98039434105E-06,364.265232034,1.11555463762,,,,,x,1,1.10051030829,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cockroach02.jpg,belt,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,126,126,129,365.364009456,8.98039434105E-06,366.48249297,1.11849281518,,,,,x,1,1.10051319492,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\axe01.jpg,axe,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,127,127,104,367.586620435,9.94256697595E-06,368.716440036,1.12982986413,,,,,z,1,1.11719739996,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\parkbench03.jpg,park bench,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,128,128,71,369.822612454,9.30111855268E-06,371.450499516,1.62789764581,,,,,z,1,1.61731526698,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\blackolive.jpg,tank,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,129,129,229,372.56693551,8.6595537141E-06,373.967856766,1.40093151864,,,,,x,1,1.38393043564,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\highlighter03b.jpg,coin,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,130,130,156,375.069641963,8.98039434105E-06,376.068421598,0.998789898003,,,,,x,1,0.983827354037,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\scooter.jpg,pen,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,131,131,212,377.162091446,8.98027792573E-06,378.002262727,0.84018122335,,,,,x,1,0.817106537987,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cactus.jpg,cactus,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,132,132,70,379.114075767,9.30100213736E-06,380.302877015,1.18881087028,,,,,z,1,1.16718747339,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\coffeepot03b.jpg,coffee pot,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,133,133,107,381.424091838,9.94256697595E-06,382.786875156,1.36279358121,,,,,z,1,1.35057613754,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
