images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images/banana04a.jpg,banana,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,27,27,118,164.359700551,9.30088572204E-06,165.103798668,0.744108059444,,,,,z,1,0.733785697492,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/handfan01b.jpg,handfan,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,28,28,69,166.218022969,9.94233414531E-06,167.904467561,1.68645549635,,,,,z,1,1.66732649389,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/lightswitch02a.jpg,fork,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,29,29,177,169.015832646,8.98027792573E-06,170.288400725,1.27257866296,,,,,x,1,1.25056703249,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/lipstick04.jpg,lipstick,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,30,30,56,171.387981929,9.30088572204E-06,172.98906763,1.60109596304,,,,,z,1,1.58398043877,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/radio03a.jpg,radio,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,31,31,37,174.102991737,9.62149351835E-06,175.206282064,1.10330091068,,,,,z,1,1.08386594173,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/spoon02b.jpg,spoon,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,32,32,38,176.297575231,9.30088572204E-06,177.340136332,1.04257104266,,,,,z,1,1.03384137456,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/volleyball.jpg,volley ball,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,33,33,2,178.47113876,9.621726349E-06,179.707378284,1.23624914535,,,,,z,1,1.21721603815,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/toothbrush03a.jpg,parrot,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,34,34,210,180.799748107,9.30088572204E-06,182.074623764,1.2748855995,,,,,x,1,1.25055067567,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/candycane01a.jpg,lip,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,35,35,200,183.168557095,8.98027792573E-06,184.425215235,1.25666808221,,,,,x,1,1.23389185593,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/hanger02a.jpg,hanger,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,36,36,88,185.518863126,9.621726349E-06,186.675765269,1.1569120856,,,,,z,1,1.13380070752,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/notebook02b.jpg,notebook,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,37,37,7,187.783441117,9.30088572204E-06,188.592917612,0.809486117447,,,,,z,1,0.800431239652,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/tulip02.jpg,sport shorts,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,38,38,225,189.687153062,9.94233414531E-06,190.710093817,1.0229510183,,,,,x,1,1.0004939083,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/electricguitar02.jpg,electric guitar,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,39,39,100,191.811795299,4.16934490204E-05,193.010660721,1.19888306176,,,,,z,1,1.18387658964,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
