images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\backpack01b.jpg,swallow,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,155,155,228,940.412651515,9.62184276432e-06,941.948615407,1.5359741546,,,,,x,1,1.51732100802,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\cat.jpg,black olive,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,156,156,133,943.079319251,9.94256697595e-06,943.84911635,0.769807361881,,,,,x,1,0.75044829573,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\dreamcatcher.jpg,dream catcher,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,157,157,48,944.949377774,9.62184276432e-06,945.749630443,0.800263252459,,,,,z,1,0.783794254996,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\gps.jpg,gps,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,158,158,21,946.868048208,9.62184276432e-06,948.583722348,1.71568440367,,,,,z,1,1.7007035783,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\lettuce.jpg,mushroom,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,159,159,205,949.707714023,9.94256697595e-06,950.484234196,0.776531398064,,,,,x,1,0.767118709628,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\bullet (2).jpg,rubber glove,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,160,160,217,951.589572404,9.62184276432e-06,953.0182532,1.42869073898,,,,,x,1,1.41730173235,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\globe.jpg,cloud,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,161,161,154,954.146426511,1.02632911876e-05,955.585618164,1.43920223718,,,,,x,1,1.41731231636,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\raisin.jpg,ruler,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,162,162,218,956.692076991,9.94245056063e-06,957.50278471,0.810718623456,,,,,x,1,0.800463706721,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\mushroom01.jpg,shower head,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,163,163,222,958.620037275,9.94256697595e-06,960.003453586,1.38342657394,,,,,x,1,1.36727990687,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\cactus.jpg,cactus,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,164,164,70,961.115794541,9.62184276432e-06,962.004005236,0.888220957713,,,,,z,1,0.867161398404,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\fryingpan01.jpg,frying pan,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,165,165,45,963.104936337,9.30100213736e-06,964.78808173,1.68315565598,,,,,z,1,1.66736692004,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\honeycomb.jpg,honey comb,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,166,166,59,965.901849599,9.62184276432e-06,967.305418133,1.40357943869,,,,,z,1,1.38394903776,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\mailbox01.jpg,mail box,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,167,167,73,968.425405535,1.02631747723e-05,969.155929644,0.730534051661,,,,,z,1,0.717119655805,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\sportshorts02.jpg,tape,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,168,168,230,970.264249969,9.30100213736e-06,971.706610723,1.4423710173,,,,,x,1,1.4339808058,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\bowlingball.jpg,bowling ball,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,169,169,20,972.838907938,9.94256697595e-06,974.12391855,1.28502151591,,,,,z,1,1.26725389587,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
