27.4890 	EXP 	image: image = u'images/armadillo.jpg'
27.4890 	EXP 	image: size = array([300., 300.])
27.4890 	EXP 	text: text = u'armadillo'
27.4890 	EXP 	image: autoDraw = True
27.4890 	EXP 	text: autoDraw = True
28.1742 	DATA 	Keypress: x
28.2107 	EXP 	image: autoDraw = False
28.2107 	EXP 	text: autoDraw = False
28.2107 	EXP 	text_2: text = 'Wrong.'
28.2107 	EXP 	text_2: autoDraw = True
29.1911 	EXP 	New trial (rep=0, index=10): OrderedDict([(u'images', u'images/banana04a.jpg'), (u'name', u'banana'), (u'corrAns', u'z')])
29.3289 	DATA 	Keypress: escape
29.3676 	EXP 	text_2: autoDraw = False
29.3676 	EXP 	text_2: autoDraw = False
29.3676 	EXP 	image: image = u'images/banana04a.jpg'
29.3676 	EXP 	image: size = array([300., 300.])
29.3676 	EXP 	text: text = u'banana'
29.3676 	EXP 	image: autoDraw = True
29.3676 	EXP 	text: autoDraw = True
31.1580 	DATA 	Keypress: escape
31.4343 	EXP 	window1: mouseVisible = True
